a.	[ə.]	n. 天主教徒
dubious	[ˈdubiəs]	adj. 可疑的；暧昧的；无把握的；半信半疑的
duck	[dək]	n. 鸭子；鸭肉；（英）宝贝儿；零分 ｜v. 闪避；没入水中
dull	[dəl]	adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的 ｜v. 使迟钝；使阴暗；缓和 ｜n. (Dull)人名；(罗、匈)杜尔；(柬)杜；(英)达尔
dump	[dəmp]	v. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销 ｜n. 垃圾场；仓库；无秩序地累积
duplicate	[ˈdupləˌkeɪt]	v. 复制；使加倍 ｜n. 副本；复制品 ｜adj. 复制的；二重的
durable	[ˈdʊrəbəl]	adj. 耐用的，持久的 ｜n. 耐用品
duration	[ˈdʊˈreɪʃən]	n. 期间；持久， 持续时间
dusk	[dəsk]	n. 黄昏，薄暮；幽暗，昏暗 ｜adj. 微暗的 ｜v. 使变微暗
dust	[dəst]	n. 灰尘；尘埃；尘土 ｜v. 撒；拂去灰尘
dwarf	[dwɔrf]	v. 变矮小 ｜n. 侏儒，矮子 ｜adj. 矮小的
dwell	[dwɛl]	v. 居住；存在于；细想某事
dwelling	[dˈwɛlɪŋ]	n. 住处；寓所 ｜v. 居住（dwell的现在分词）
dye	[daɪ]	n. 染料；染色 ｜v. 染；把…染上颜色
dynamic	[daɪˈnæmɪk]	adj. 动态的；动力的；动力学的；有活力的 ｜n. 动态；动力
dynasty	[ˈdaɪnəsti]	n. 王朝，朝代
eagle	[ˈigəl]	n. 鹰；鹰状标饰
ear	[ɪr]	n. 耳朵；穗；听觉；倾听 ｜vi. （美俚）听见；抽穗
earn	[ərn]	v. 赚，赚得；获得，挣得；使得到；博得 ｜n. (Earn)人名；(泰)炎
earnest	[ˈərnɪst]	adj. 认真的，热心的；重要的 ｜n. 认真；定金；诚挚
earthquake	[ˈərθkˌweɪk]	n. 地震；大动荡
ease	[iz]	v. 减轻，缓和；使安心 ｜n. 轻松，舒适；安逸，悠闲
easter	[ˈistər]	n. 复活节
ebb	[ɛb]	n. 衰退；退潮；衰落 ｜v. 衰退；减少；衰落；潮退
eccentric	[ˌɛkˈsɛntrɪk]	adj. 古怪的，反常的 ｜n. 古怪的人
echo	[ˈɛkoʊ]	v. 反射；重复 ｜n. 回音；效仿
eclipse	[ɪˈklɪps]	n. 食
ecology	[ɪˈkɑləʤi]	n. 生态学
economical	[ˌɛkəˈnɑmɪkəl]	adj. 节约的,经济的
economics	[ˌɛkəˈnɑmɪks]	n. 经济学
ecosystem	[ˈiːkəʊsɪstəm]	n. 生态
edible	[ˈɛdəbəl]	adj. 可食用的 ｜n. 食品；食物
edit	[ˈɛdət]	vt. 编辑， 校订
editorial	[ˌɛdəˈtɔriəl]	adj. 编辑的；社论的 ｜n. 社论
educate	[ˈɛʤəˌkeɪt]	v. 教育,培养,训练
efficiency	[ɪˈfɪʃnsi]	n. 效率；功效
efficient	[ɪˈfɪʃənt]	adj. 有效的,效率高的;有能力的,能胜任的
egg	[ɛg]	n. 蛋；卵子；家伙；鸡蛋 ｜v. 煽动；怂恿
ego	[ˈigoʊ]	n. 自我；自负；自我意识
eighteen	[ˈeɪˈtin]	n. 十八，十八个 ｜adj. 十八个的，十八的
eightfold	[ˈeɪtfəʊld]	adj. 八倍
eject	[ɪˈʤɛkt]	v. 喷射,排出；驱逐
elaborate	[ɪˈlæbərˌeɪt]	adj. 精心制作的；详尽的；煞费苦心的 ｜v. 精心制作；详细阐述；从简单成分合成（复杂有机物）
elapse	[ɪˈlæps]	v. 消逝；时间过去 ｜n. 流逝；时间的过去
elastic	[ɪˈlæstɪk]	adj. 有弹性的；灵活的；易伸缩的 ｜n. 松紧带；橡皮圈
elbow	[ˈɛlˌboʊ]	n. 肘部；弯头；扶手 ｜v. 推挤；用手肘推开
elder	[ˈɛldər]	n. 老人；长辈；年长者；父辈 ｜adj. 年长的；年龄较大的；资格老的
elderly	[ˈɛldərli]	adj. 上了年纪的；过了中年的；稍老的
elect	[ɪˈlɛkt]	v. 选举,推选；选择,作出选择 ｜adj. 选出的；当选的；卓越的 ｜n. 被选的人；特殊阶层；上帝的选民
electrical	[ɪˈlɛktrɪkəl]	adj. 有关电的；电气科学的
electrician	[ɪlɛkˈtrɪʃən]	n. 电气专家； 电工
electricity	[ɪˌlɛkˈtrɪsəti]	n. 电力；电流；强烈的紧张情绪
electron	[ˌɪˈlɛktrɑn]	n. 电子
elegant	[ˈɛləgənt]	adj. 优雅的;端庄的;雅致的
element	[ˈɛləmənt]	n. 元素；要素；原理；成分；自然环境
elementary	[ˌɛləˈmɛnʧri]	adj. 基本的；初级的；[化学] 元素的
elephant	[ˈɛləfənt]	n. 象；大号图画纸
elevate	[ˈɛləˌveɪt]	v. 提拔,提升...的职位；举起
elevator	[ˈɛləˌveɪtər]	n. 电梯,升降机
eligible	[ˈɛlɪʤəbəl]	adj. 符合条件的；(尤指婚姻等)合适(意)的 ｜n. 合格者；适任者；有资格者
eliminate	[ɪˈlɪmɪneɪt]	v. 消除；排除
elite	[ɪˈlit]	n. 精英；精华；中坚分子
eloquent	[ˈɛləkwənt]	adj. 雄辩的,有说服力的;善辩的,口才流利的
elsewhere	[ˈɛlsˌwɛr]	adv. 在别处， 向别处
embark	[ɪmˈbɑrk]	v. (使)上船(或飞机,汽车等)；着手,从事
embarrass	[ɪmˈbɛrəs]	v. 使困窘,使局促不安；阻碍,麻烦
embassy	[ˈɛmbəsi]	n. 大使馆;大使及其随员
embed	[ɪmˈbɛd]	v. 栽种；使嵌入，使插入；使深留脑中
embodied	[ɪmˈbɒdid]	adj. 体现
embody	[ɪmˈbɑdi]	v. 体现，使具体化；具体表达 ｜n. (Embody)人名；(英)恩博迪
embrace	[ɪmˈbreɪs]	v. 拥抱；信奉，皈依；包含 ｜n. 拥抱
embryo	[ˈɛmbriˌoʊ]	n. 胚， 胚胎 ；事物的萌芽期
emerge	[ˈimərʤ]	v. 显现,浮现；暴露
emigrate	[ˈɛməˌgreɪt]	v. 移居；移居外国
eminent	[ˈɛmənənt]	adj. 杰出的；有名的；明显的
emit	[ɪˈmɪt]	v. 发出，放射；发行；发表
emotion	[ˈiˌmoʊʃən]	n. 情绪,情感,感情
emperor	[ˈɛmpərər]	n. 皇帝，君主
emphasis	[ˈɛmfəsɪs]	n. 重点；强调；加强语气
emphasize	[ˈɛmfəˌsaɪz]	v. 强调，着重
empirical	[ˌɛmˈpɪrɪkəl]	adj. 经验主义的，完全根据经验的；实证的
employer	[ɪmˈplɔɪər]	n. 雇主，老板
enable	[ɪˈneɪbl]	v. 使能够，使成为可能；授予权利或方法
encapsulate	[ɪnˈkæpsjuleɪt]	v. 封装
enclose	[ɪnˈkloʊz]	v. 包围; 装
enclosure	[ɪnˈkloʊʒər]	n. 围地，围场
encounter	[ɪnˈkaʊnər]	v. 遇到,遭遇 ｜n. 遭遇；经历
encourage	[ɪnˈkərəʤ]	v. 鼓励，怂恿；激励；支持
encyclopaedia	[ɪnˌsaɪkləˈpidiə]	n. 百科全书
encyclopedia	[ɪnˌsaɪkləˈpidiə]	n. 百科全书（亦是encyclopaedia）
endeavor	[ɪnˈdɛvər]	n. 努力；尽力（等于endeavour） ｜v. 努力；尽力（等于endeavour）
endeavour	[ɪnˈdɛvər]	vi. 努力， 尽力； 力图 ｜n. 努力， 尽力； 力图
endorse	[ɛnˈdɔrs]	vt. 赞同， 认可；代言；背书； 在背面签名
endow	[ɛnˈdaʊ]	v. 赋予；捐赠；天生具有
endurance	[ˈɛndərəns]	n. 忍耐力；忍耐；持久；耐久
endure	[ɪnˈdʊr]	v. 忍耐；容忍
energetic	[ˌɛnərˈʤɛtɪk]	adj. 精力充沛的；积极的；有力的
enforce	[ɛnˈfɔrs]	v. 实施，执行；强迫，强制
enforcement	[ɪnˈfɔːsmənt]	n. 执行
engage	[ɪnˈgeɪʤ]	v. 吸引，占用；使参加；雇佣；使订婚；预定
engagement	[ɛnˈgeɪʤmənt]	n. 婚约；约会；交战；诺言
enhance	[ɛnˈhæns]	v. 提高；加强；增加
enlarge	[ˌɛnˈlɑrʤ]	v. 扩大；放大；详述
enlighten	[ˌɛnˈlaɪtən]	v. 启发,启蒙,教导
enormous	[ɪˈnɔrmɪs]	adj. 庞大的，巨大的；凶暴的，极恶的
enquire	[ɪnkˈwaɪər]	v. 询问；调查；问候（等于inquire）
enquiry	[ɪnkˈwaɪˌri]	n. 打听， 询问；调查， 研究
enrich	[ɪnˈrɪʧ]	v. 使充实；使肥沃；使富足 ｜n. (Enrich)人名；(西)恩里奇
enroll	[ɪnˈroʊl]	v. 登记；使加入；把记入名册；使入伍
entail	[ɛnˈteɪl]	v. 使需要，必需；承担；遗传给；蕴含 ｜n. 引起；需要；继承
enterprise	[ˈentəpraɪz]	n. 事业,企(事)业单位；事业心,进取心
entertain	[ˌɛnərˈteɪn]	v. 招待,款待；使娱乐;使欢乐
enthusiasm	[ɪnˈθuziˌæzəm]	n. 热心，热忱，热情
enthusiastic	[ɪnˌθuziˈæstɪk]	adj. 热情的；热心的；狂热的
entitle	[ɪnˈtaɪtəl]	v. 称做…；定名为…；给…称号；使…有权利
entity	[ˈɛntɪti]	n. 实体；存在；本质
entrance	[ˈɛntrəns]	n. 入口；进入 ｜v. 使出神，使入迷
entrepreneur	[ˌɒntrəprəˈnɜː]	n. 企业家；承包人；主办者
envelope	[ˈɛnvəˌloʊp]	n. 信封，封皮；包膜；[天] 包层；包迹
envisage	[ɛnˈvɪzɪʤ]	v. 想象，设想，展望
envy	[ˈɛnvi]	n. 嫉妒，妒忌；羡慕 ｜v. 嫉妒，妒忌；羡慕
epidemic	[ˌɛpɪˈdɛmɪk]	adj. 流行的；传染性的 ｜n. 传染病；流行病；风尚等的流行
epoch	[ˈɛpək]	n. [地质] 世；新纪元；新时代；时间上的一点
equality	[ɪkˈwɑləti]	n. 同等;平等;相等;等式;等同性
equation	[ɪkˈweɪʒən]	n. (数学)等式,方程式；制衡局面
equator	[ɪkˈweɪtər]	n. 赤道
equip	[ɪkˈwɪp]	v. (with)装备,配备；训练
erase	[ɪˈreɪs]	v. 抹去；擦除
erect	[ɪˈrɛkt]	v. 建立；树立,使竖立 ｜adj. 直立的,垂直的
erosion	[ɪˈroʊʒən]	n. 侵蚀，腐蚀
erroneous	[ɛˈroʊniəs]	adj. 错误的；不正确的
erupt	[ˈirəpt]	v. 爆发；喷出；发疹；长牙
escalate	[ˈɛskəˌleɪt]	v. 使…加剧; 加剧
escort	[ˈɛskɔrt]	n. 陪同；护航舰；护卫队；护送者 ｜v. 护送；陪同；为…护航
essay	[ˈɛˌseɪ]	n. 散文；试图；随笔 ｜v. 尝试；对…做试验
essence	[ˈesns]	n. 本质,实质
establish	[ɪˈstæblɪʃ]	v. 建立；创办；安置
establishment	[ɪˈstæblɪʃmənt]	n. 确立，制定；公司；设施
esteem	[ɛˈstim]	v. 尊敬；认为；考虑；估价 ｜n. 尊重；尊敬
estimate	[ˈɛstəˌmeɪt]	n. 估计；估价 ｜v. 估计,估价
eternal	[ɪˈtərnəl]	adj. 永恒的；不朽的
ethic	[ˈɛθɪk]	n. 道德准则， 行为准则， 伦理标准
ethnic	[ˈɛθnɪk]	adj. 种族的；人种的
evacuate	[ɪˈvækjəˌeɪt]	v. 撤离，疏散；排泄
evade	[ɪˈveɪd]	v. 逃避，回避；避开，躲避；回避
evaluate	[ɪˈvæljuˌeɪt]	v. 估价,评价
evaporate	[ɪˈvæpərˌeɪt]	v. 蒸发,挥发
eve	[iv]	n. 夏娃； 前夕；傍晚；重大事件关头
everyday	[ˈɛvriˈdeɪ]	adj. 每天的，日常的 ｜n. 平时；寻常日子
evident	[ˈɛvədənt]	adj. 明显的,明白的
evoke	[ɪˈvoʊk]	v. 唤起(回忆、感情等)；引起
evolution	[ˌɛvəˈluʃən]	n. 进化,演变；发展,进展
evolve	[ɪˈvɑlv]	v. 进化；(使)发展;(使)进展
exaggerate	[ɪgˈzæʤərˌeɪt]	v. 夸大， 夸张
examine	[ɪgˈzæmɪn]	v. 检查；调查； 检测；考试
exceed	[ɪkˈsid]	v. 超过,胜过；越出 (限制、规定)
exceedingly	[ɪkˈsidɪŋli]	adv. 极端地,非常
excel	[ɪkˈsɛl]	v. 超过；擅长
exception	[ɪkˈsɛpʃən]	n. 例外,除外
exceptional	[ɪkˈsɛpʃənəl]	adj. 例外的；异常的 ｜n. 超常的学生
excerpt	[ˈɛksərpt]	n. 摘录，引用 ｜v. 引用，摘录
excess	[ˈɛkˌsɛs]	adj. 过量的,额外的 ｜n. 过多，过量
excessive	[ɪkˈsɛsɪv]	adj. 过多的;过分的
excite	[ɪkˈsaɪt]	v. 激起；刺激…，使…兴奋
excitement	[ɪkˈsaɪtmənt]	n. 兴奋；刺激；令人兴奋的事物
exclaim	[ɪkˈskleɪm]	v. 呼喊，惊叫；大声叫嚷
exclude	[ɪkˈsklud]	v. 拒绝,把…排除在外；排斥
excursion	[ɪkˈskərʒən]	n. 短途旅行,游览
execute	[ˈeksɪkjuːt]	v. 处死；实行;实施;执行;履行；完成
exemplify	[ɪgˈzɛmpləˌfaɪ]	v. 例证；例示
exempt	[ɪgˈzɛmpt]	adj. 被免除的， 被豁免的 ｜vt. 使…免除
exert	[ɪgˈzərt]	v. 运用，发挥；施以影响
exhaust	[ɪɡˈzɔːst]	v. 排出；耗尽；使精疲力尽；彻底探讨 ｜n. 排气；废气；排气装置
exhibit	[ɪgˈzɪbɪt]	v. 展览；显示；提出（证据等） ｜n. 展览品；证据；展示会
exhibition	[ˌɛksəˈbɪʃən]	n. 展览，显示；展览会；展览品
exile	[ˈɛkˌsaɪl]	n. 流放，充军；放逐，被放逐者；流犯 ｜v. 放逐，流放；使背井离乡
exit	[ˈɛksət]	n. 出口，通道；退场 ｜v. 退出；离去
exotic	[ɪgˈzɑtɪk]	adj. 异国的；外来的；异国情调的
expand	[ɪkˈspænd]	v. (使)膨胀,(使)扩张；使…发展; 发展
expectation	[ˌekspekˈteɪʃn]	n. 预期；期望,指望
expedition	[ˌɛkspəˈdɪʃən]	n. 远征；探险队；迅速
expel	[ɪkˈspɛl]	v. 驱逐；开除
expend	[ɪkˈspɛnd]	v. 花费；消耗；用光；耗尽
expenditure	[ɪkˈspɛndɪʧər]	n. 支出，花费；经费，消费额
expense	[ɪkˈspɛns]	n. 花费,消费,消耗 ｜vt. 向…收取费用 ｜vi. 被花掉
experiment	[ɪkˈspɛrəmənt]	v. 尝试；进行实验 ｜n. 实验，试验；尝试
experimental	[ɪkˌspɛrɪˈmɛntəl]	adj. 实验的；根据实验的；试验性的
expertise	[ˌɛkspərˈtiz]	n. 专门知识；专门技术；专家的意见
expire	[ɪkˈspaɪr]	v. 期满；终止；死亡；呼气
explanation	[ˌɛkspləˈneɪʃən]	n. 说明，解释；辩解
explicit	[ɪkˈsplɪsət]	adj. 明确的；清楚的；直率的；详述的
explode	[ɪkˈsploʊd]	v. 爆炸，爆发；激增
exploit	[ˌɛkˈsplɔɪt]	v. 开发，开拓；剥削；开采 ｜n. 勋绩；功绩
explore	[ɪkˈsplɔr]	v. 探索；探测；探险
explosion	[ɪkˈsploʊʒən]	n. 爆炸；爆发；激增
explosive	[ɪkˈsploʊsɪv]	adj. 爆炸的；爆炸性的；爆发性的 ｜n. 炸药；爆炸物
exponential	[ˌekspəˈnenʃl]	adj. 指数
export	[ˈɛkspɔrt]	v. 出口 ｜n. 出口；出口商品
expose	[ɪkˈspoʊz]	v. (to)使暴露,受到；揭露，揭发
exposure	[ɪkˈspoʊʒər]	n. 暴露；揭露；朝向
exquisite	[ˈɛkskwəzət]	adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的 ｜n. 服饰过于讲究的男子
extend	[ɪkˈstɛnd]	v. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
extension	[ɪkˈstɛnʃən]	n. 延长；延期；扩大；伸展；电话分机
extensive	[ɪkˈstensɪv]	adj. 广泛的；大量的；广阔的
extent	[ɪkˈstɛnt]	n. 广度， 宽度， 长度；程度， 限度
exterior	[ɪkˈstɪriər]	adj. 外部的；表面的；外在的 ｜n. 外部；表面；外型；外貌
extinct	[ɪkˈstɪŋkt]	adj. 灭绝的，绝种的；熄灭的 ｜vt. 使熄灭
extinguish	[ɪkˈstɪŋgwɪʃ]	v. 熄灭；压制；偿清
extract	[ˈɛkˌstrækt]	v. 拔出,抽出；摘录 ｜n. 节录；选段；抽取物
extraordinary	[ˌɛkstrəˈɔrdəˌnɛri]	adj. 异乎寻常的；令人惊奇的；非凡的，出色的
extravagant	[ɛkˈstrævəgənt]	adj. 奢侈的
eyebrow	[ˈaɪˌbraʊ]	n. 眉毛 ｜v. 为…描眉；用皱眉蹙额迫使
eyesight	[ˈaɪˌsaɪt]	n. 视力
fable	[ˈfeɪbəl]	n. 寓言；无稽之谈 ｜vi. 编寓言；虚构 ｜vt. 煞有介事地讲述；虚构
fabric	[ˈfæbrɪk]	n. 织物；布；组织；构造；建筑物
fabricate	[ˈfæbrəˌkeɪt]	v. 制造；伪造；装配
fabrication	[ˌfæbrɪˈkeɪʃn]	n. 制造
fabulous	[ˈfæbjələs]	adj. 寓言式的；极为巨大的；极好的
facilitate	[fəˈsɪləˌteɪt]	v. 促进；帮助；使容易
faculty	[ˈfækəlti]	n. 科，系；能力；全体教员
fade	[feɪd]	v. 褪色；凋谢；逐渐消失 ｜adj. 平淡的；乏味的 ｜n. [电影][电视] 淡出；[电影][电视] 淡入
faint	[feɪnt]	adj. 模糊的；头晕的；虚弱的；[医] 衰弱的 ｜v. 昏倒；变得微弱；变得没气力 ｜n. [中医] 昏厥，昏倒
fairy	[ˈfɛri]	n. 仙女，小精灵；漂亮姑娘 ｜adj. 虚构的；仙女的
faithful	[ˈfeɪθfəl]	adj. 守信的， 忠实的； 如实的
faithfully	[ˈfeɪθfəli]	adv. 忠诚地， 如实地
fame	[feɪm]	n. 名声，名望；传闻，传说 ｜vt. 使闻名，使有名望
famine	[ˈfæmən]	n. 饥荒；饥饿，奇缺
fancy	[ˈfænsi]	n. 幻想；想象力；爱好 ｜adj. 想象的；奇特的；昂贵的；精选的 ｜v. 想象；喜爱；设想；自负
fare	[fɛr]	v. 经营；进展；遭遇；过活 ｜n. 票价；费用；旅客；食物
farewell	[ˌfɛrˈwɛl]	n. 告别，辞别；再见；再会 int. 别了！（常含有永别或不容易再见面的意思）；再会！ ｜adj. 告别的
farmer	[ˈfɑrmər]	n. 农夫，农民
farther	[ˈfɑrðər]	adv. 更远地；此外；更进一步地 ｜adj. 进一步的；更远的（far的比较级）
fascinate	[ˈfæsəˌneɪt]	v. 使着迷，使神魂颠倒
fascinated	[ˈfæsəˌneɪtɪd]	adj. 兴奋的， 着迷的
fashionable	[ˈfæʃənəbəl]	adj. 流行的；时髦的；上流社会的
fasten	[ˈfæsən]	v. 使固定；集中于；扎牢；强加于 ｜n. (Fasten)人名；(英)法森
fatal	[ˈfeɪtəl]	adj. 致命的；重大的；毁灭性的；命中注定的 ｜n. (Fatal)人名；(葡、芬)法塔尔
fate	[feɪt]	n. 命运 ｜v. 注定
fatigue	[fəˈtig]	n. 疲劳，疲乏；杂役 ｜v. 使疲劳；使心智衰弱 ｜adj. 疲劳的
fatigued	[fəˈtigd]	adj. 疲乏的
faulty	[ˈfɔlti]	adj. 有错误的；有缺点的
favorable	[ˈfeɪvərəbəl]	adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
fax	[fæks]	v. 传真 ｜n. 传真
fearful	[ˈfɪrfəl]	adj. 可怕的；担心的；严重的
feasible	[ˈfiːzəbl]	adj. 可行的；可能的；可实行的
feast	[fist]	v. 享受；款待，宴请 ｜n. 筵席，宴会；节日
feat	[fit]	n. 功绩，壮举；技艺表演 ｜adj. 合适的；灵巧的
feather	[ˈfɛðər]	n. 羽毛 ｜v. 用羽毛装饰
federation	[ˌfɛdərˈeɪʃən]	n. 联合；联邦；联盟；联邦政府
feeble	[ˈfibəl]	adj. 微弱的，无力的；虚弱的；薄弱的
feedback	[ˈfidˌbæk]	n. 反馈；成果，资料；回复
fellowship	[ˈfɛloʊˌʃɪp]	n. 伙伴关系,友情,友谊；团体
feminine	[ˈfɛmənən]	adj. 女性的；妇女（似）的；阴性的；娇柔的
fence	[fɛns]	n. 栅栏；围墙；剑术 ｜v. 防护；用篱笆围住；练习剑术
ferry	[ˈfɛri]	n. 渡船；摆渡；渡口 ｜v. （乘渡船）渡过；用渡船运送；空运
fertile	[ˈfərtəl]	adj. 富饶的，肥沃的；能生育的
fertilizer	[ˈfərtəˌlaɪzər]	n. [肥料] 肥料；受精媒介物；促进发展者
feudal	[fˈjudəl]	adj. 封建制度的；领地的；世仇的
fever	[ˈfivər]	n. 发烧，发热；狂热 ｜vt. 使发烧；使狂热；使患热病 ｜vi. 发烧；狂热；患热病
fiber	[ˈfaɪbər]	n. 纤维；光纤（等于fibre）
fibre	[ˈfaɪbər]	n. 纤维， 纤维质
fiction	[ˈfɪkʃən]	n. 小说；虚构,编造
fierce	[fɪrs]	adj. 凶猛的,残忍的；狂热的,强烈的 ｜n. (Fierce)人名；(英)菲尔斯
fifty	[ˈfɪfti]	n. 五十；五十个；编号为50的东西 ｜adj. 五十的；五十个的；众多的
filing	[ˈfaɪlɪŋ]	n. 报备
filter	[ˈfɪltər]	v. 滤过；渗入；慢慢传开 ｜n. 滤波器；[化工] 过滤器；筛选；滤光器
fin	[fɪn]	n. 鱼鳍；鳍状物；尾翅
finger	[ˈfɪŋgər]	n. 手指；指状物 ｜v. 伸出；用手指拨弄
finite	[ˈfaɪˌnaɪt]	adj. 有限的
fireman	[ˈfaɪrmən]	n. 消防队员
fireplace	[ˈfaɪərˌpleɪs]	n. 壁炉
fiscal	[ˈfɪskəl]	adj. 财政的， 国库的
fisherman	[ˈfɪʃərˌmæn]	n. 渔夫，捕鱼人
fist	[fɪst]	n. 拳，拳头；〈口〉笔迹；掌握；[印]指标参见号 ｜vt. 紧握；握成拳；用拳打
fitting	[ˈfɪtɪŋ]	n. 装配，装置；试穿，试衣 ｜adj. 适合的，适宜的；相称的
fixture	[ˈfɪksʧər]	n. 设备；固定装置；固定于某处不大可能移动之物
flame	[fleɪm]	vi. 发火焰， 燃烧 ｜n. 火焰， 火苗；热情；光辉
flap	[flæp]	n. 拍打，拍打声；神经紧张；[航] 襟翼 ｜v. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下
flare	[flɛr]	v. 使闪耀；使张开；用发光信号发出；使外倾 ｜n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
flash	[flæʃ]	v. 使闪光；反射 ｜n. 闪光，闪现；一瞬间 ｜adj. 闪光的，火速的
flatter	[ˈflætər]	v. 奉承；谄媚；使高兴
flavor	[ˈfleɪvər]	n. 情味，风味；香料；滋味 ｜v. 加味于
flaw	[flɔ]	n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹 ｜v. 使生裂缝，使有裂纹；使无效；使有缺陷
flee	[fli]	v. 逃走；消失，消散
fleet	[flit]	adj. 快速的，敏捷的 ｜n. 舰队；港湾；小河 ｜v. 飞逝；疾驰；掠过
flesh	[flɛʃ]	n. 肉；肉体 ｜v. 喂肉给…；使发胖
flexible	[ˈflɛksəbəl]	adj. 灵活的；柔韧的；易弯曲的
fling	[flɪŋ]	v. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动 ｜n. 掷，抛；嘲弄；急冲
flip	[flɪp]	n. 翻转
float	[floʊt]	v. 使漂浮；实行 ｜n. 彩车，花车；漂流物；浮舟；浮萍
flock	[flɑk]	n. 群；棉束（等于floc） ｜v. 用棉束填满
flood	[fləd]	v. 淹没；充满；溢出 ｜n. 洪水；泛滥；一大批
flour	[flaʊər]	n. 面粉；粉状物质 ｜v. 撒粉于；把…磨成粉
flourish	[flərɪʃ]	vi. 繁荣， 茂盛； 兴旺
flu	[flu]	n. 流感
fluctuate	[ˈfləkʧəˌweɪt]	v. 波动；涨落；动摇
fluent	[fluənt]	adj. 流畅的，流利的；液态的；畅流的
fluid	[fluɪd]	adj. 流动的；流畅的；不固定的 ｜n. 流体；液体
flush	[fləʃ]	n. 激动，洋溢；面红；萌芽；旺盛；奔流 ｜v. 使齐平；发红，使发亮；用水冲洗；使激动 ｜adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
foam	[foʊm]	n. 泡沫；水沫；灭火泡沫 ｜v. 起泡沫；吐白沫；起着泡沫流动
fog	[fɔg]	n. 雾；烟雾，尘雾；迷惑 ｜v. 使模糊；使困惑；以雾笼罩
fold	[foʊld]	v. 折叠；合拢；抱住；笼罩 ｜n. 折痕；信徒；羊栏
folk	[foʊk]	n. 民族；人们；亲属（复数） ｜adj. 民间的
fond	[fɑnd]	adj. 喜欢的；温柔的；宠爱的 ｜n. (Fond)人名；(法)丰；(瑞典)丰德
fool	[ful]	v. 欺骗；开玩笑；戏弄 ｜n. 傻瓜；愚人；受骗者 ｜adj. 傻的
foolish	[ˈfulɪʃ]	adj. 愚蠢的；傻的
